"16","HKEY_CURRENT_USER\\Software\\Microsoft\\Internet Explorer\\LowRegistry\\Audio\\PolicyConfig\\PropertyStore\\bb0e5880_0",\N,"","{2}.\\\\?\\hdaudio#func_01&ven_8384&dev_7680&subsys_83847680&rev_1034#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\\espeakertopo/00010001|\\Device\\HarddiskVolume2\\Program Files\\Mozilla Firefox\\firefox.exe%b{00000000-0000-0000-0000-000000000000}","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:42"
"27","HKEY_CURRENT_USER\\Software\\Microsoft\\Windows NT\\CurrentVersion\\AppCompatFlags\\Compatibility Assistant\\Store",\N,"C:\\Program Files\\Mozilla Firefox\\firefox.exe","53 41 43 50 01 00 00 00 00 00 00 00 07 00 00 00 28 00 00 00 D0 07 07 00 DC A6 07 00 01 00 00 00 00 00 00 00 00 00 00 0A 00 21 00 00 4D AE 7E 0C 19 39 D3 01 00 00 00 01 00 00 00 00 ","3","",\N,"2018-02-10 05:18:01","2018-02-10 05:54:26"
"108","HKEY_CURRENT_USER\\Software\\Microsoft\\Windows\\CurrentVersion\\Search\\RecentApps\\{97E92AF2-2EFF-4CAE-8F21-0CE48A611DE5}",\N,"AppId","E:\\Firefox Setup 58.0.2.exe","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:04"
"115","HKEY_CURRENT_USER\\Software\\Microsoft\\Windows\\CurrentVersion\\Search\\RecentApps\\{F07F44F2-CEF4-4743-B8B9-A17472E4032A}",\N,"AppPath","C:\\Program Files\\Mozilla Firefox\\firefox.exe","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:54:26"
"129","HKEY_CURRENT_USER\\Software\\Mozilla","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:54:34"
"130","HKEY_CURRENT_USER\\Software\\Mozilla\\Firefox","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:54:34"
"131","HKEY_CURRENT_USER\\Software\\Mozilla\\Firefox\\TaskBarIDs","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:54:34"
"132","HKEY_CURRENT_USER\\Software\\Mozilla\\Firefox\\TaskBarIDs",\N,"C:\\Program Files\\Mozilla Firefox","308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:54:34"
"145","HKEY_LOCAL_MACHINE\\Software\\Classes\\CLSID\\{1814CEEB-49E2-407F-AF99-FA755A7D2607}\\InProcServer32",\N,"","C:\\Program Files\\Mozilla Firefox\\AccessibleMarshal.dll","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:22"
"149","HKEY_LOCAL_MACHINE\\Software\\Classes\\CLSID\\{1BAA303D-B4B9-45E5-9CCB-E3FCA3E274B6}\\InprocHandler32",\N,"","C:\\Program Files\\Mozilla Firefox\\AccessibleHandler.dll",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:22"
"154","HKEY_LOCAL_MACHINE\\Software\\Classes\\CLSID\\{DCA8D857-1A63-4045-8F36-8809EB093D04}\\InProcServer32",\N,"","C:\\Program Files\\Mozilla Firefox\\AccessibleHandler.dll","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:22"
"156","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxHTML-308046B0AF4A39CB","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"157","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxHTML-308046B0AF4A39CB",\N,"","Firefox Document","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"158","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxHTML-308046B0AF4A39CB",\N,"FriendlyTypeName","Firefox Document","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"159","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxHTML-308046B0AF4A39CB",\N,"EditFlags","2","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"160","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxHTML-308046B0AF4A39CB\\DefaultIcon","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"161","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxHTML-308046B0AF4A39CB\\DefaultIcon",\N,"","C:\\Program Files\\Mozilla Firefox\\firefox.exe,1","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
