Registry Key,Change Type,Value Name,Value Data,Value Type,Value Data Changed To,Value Type Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\CloudPolicy\OneSettings,Removed Value,ETag,978:E1E175E7DC165357,REG_SZ,,,10/02/2018 05:23:39,10/02/2018 05:52:22
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\CloudPolicy\OneSettings,Modified Value,RefreshAfter,131627724999378627,REG_QWORD,131628019420260763,REG_QWORD,10/02/2018 05:23:39,10/02/2018 05:52:22
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME,Added Value,FileTimeHash,1B C4 DF B2 81 11 CA 78 85 47 B4 5D 1E F0 F5 F5 6B 9F A1 8B B0 A2 66 01 70 C5 12 52 6C 1E 0A 56 ,REG_BINARY,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AppLexicons,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AppLexicons\Tokens,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioInput,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioInput,Added Value,DefaultDefaultTokenId,HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioInput\TokenEnums\MMAudioIn\,REG_SZ,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioInput\TokenEnums,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioInput\TokenEnums\MMAudioIn,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioInput\TokenEnums\MMAudioIn,Added Value,CLSID,{14E74C62-DC97-43B0-8F2F-581496A65D60},REG_SZ,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioOutput,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioOutput,Added Value,DefaultDefaultTokenId,HKEY_LOCAL_MACHINE/SOFTWARE\Microsoft\Speech_OneCore\AudioOutput\TokenEnums\MMAudioOut\,REG_SZ,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioOutput\TokenEnums,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioOutput\TokenEnums\MMAudioOut,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\AudioOutput\TokenEnums\MMAudioOut,Added Value,CLSID,{14E74C62-DC97-43B0-8F2F-581496A65D60},REG_SZ,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\PhoneConverters,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\PhoneConverters\Tokens,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\PhoneConverters\Tokens\Chinese,Added Key,,,,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\PhoneConverters\Tokens\Chinese,Added Value,CLSID,{C6FABB24-E332-46FB-BC91-FF331B2D51F0},REG_SZ,,,,10/02/2018 05:50:55
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech_OneCore\PhoneConverters\Tokens\Chinese,Added Value,,Traditional Chinese Phone Converter,REG_SZ,,,,10/02/2018 05:50:55
