Registry Key,Change Type,Value Name,Value Data,Value Type,Value Data Changed To,Value Type Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\99192fcf_0,Removed Key,,,,,,10/02/2018 05:43:30,
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0,Added Key,,,,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0,Added Value,,{2}.\\?\hdaudio#func_01&ven_8384&dev_7680&subsys_83847680&rev_1034#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\espeakertopo/00010001|\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe%b{00000000-0000-0000-0000-000000000000},REG_SZ,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0\{219ED5A0-9CBF-4F3A-B927-37C9E5C5F14F},Added Key,,,,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0\{219ED5A0-9CBF-4F3A-B927-37C9E5C5F14F},Added Value,3,04 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 ,REG_BINARY,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0\{219ED5A0-9CBF-4F3A-B927-37C9E5C5F14F},Added Value,4,04 20 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 80 3F 00 00 80 3F ,REG_BINARY,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0\{219ED5A0-9CBF-4F3A-B927-37C9E5C5F14F},Added Value,5,0B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,REG_BINARY,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store,Removed Value,C:\Users\qub\Desktop\Tor Browser\Browser\TorBrowser\Tor\tor.exe,53 41 43 50 01 00 00 00 00 00 00 00 07 00 00 00 28 00 00 00 00 28 37 00 8C 6D 37 00 01 00 00 00 00 00 00 00 00 00 01 05 71 20 00 00 4D AE 7E 0C 19 39 D3 01 00 00 00 00 00 00 00 00 ,REG_BINARY,,,10/02/2018 05:43:27,10/02/2018 05:43:29
HKEY_CURRENT_USER\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store,Added Value,C:\Users\qub\AppData\Local\Temp\7zSBC2B.tmp\setup.exe,53 41 43 50 01 00 00 00 00 00 00 00 07 00 00 00 28 00 00 00 D0 1B 0A 00 BD 6E 0A 00 01 00 00 00 00 00 00 00 00 00 00 0A 00 21 00 00 4D AE 7E 0C 19 39 D3 01 00 00 00 00 00 00 00 00 02 00 00 00 28 00 00 00 00 00 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 61 3E 00 00 00 00 00 00 01 00 00 00 01 00 00 00 ,REG_BINARY,,,10/02/2018 05:43:27,10/02/2018 05:43:29
HKEY_CURRENT_USER\Software\Microsoft\Windows NT\CurrentVersion\BackgroundModel\PreInstallTasks\RequireReschedule,Removed Key,,,,,,10/02/2018 05:23:17,
